student_id,id_card,firstname,lastname,grade_level,class_level,class_number,selection_status,club_id
60001,1100301111111,โชคชัย,มีชัย,ม.6,1,1,0,
60002,1100301222222,โชติกา,แสงสว่าง,ม.6,1,2,0,
60003,1100301333333,ไชยา,ยิ่งใหญ่,ม.6,1,3,0,
60004,1100301444444,กนกพร,พรกนก,ม.6,1,4,0,
60005,1100301555555,กมลชนก,ชนกกมล,ม.6,1,5,0,
61001,1100401111111,อนันต์,ไม่สิ้นสุด,ม.5,1,1,0,
61002,1100401222222,อนิษา,สดใส,ม.5,1,2,0,
61003,1100401333333,อภิชาติ,ชาติอภิ,ม.5,1,3,0,
61004,1100401444444,อมรรัตน์,รัตน์อมร,ม.5,1,4,0,
61005,1100401555555,อรุณ,แสงทอง,ม.5,1,5,0,
62001,1100501111111,สุชาติ,มีชัย,ม.4,1,1,0,
